Date,High,Low,Open,Close,Volume,Adj Close
8-Jan-18,1253.079956,1232.030029,1236.0,1246.869995,4279500,1246.869995
9-Jan-18,1259.329956,1241.76001,1256.900024,1252.699951,3661300,1252.699951
10-Jan-18,1254.329956,1237.22998,1245.150024,1254.329956,2686000,1254.329956
11-Jan-18,1276.77002,1256.459961,1259.73999,1276.680054,3125000,1276.680054
12-Jan-18,1305.76001,1273.390015,1273.390015,1305.199951,5443700,1305.199951
16-Jan-18,1339.939941,1292.300049,1323.0,1304.859985,7220700,1304.859985
17-Jan-18,1314.0,1280.880005,1312.23999,1295.0,5253800,1295.0
18-Jan-18,1304.599976,1284.02002,1293.949951,1293.319946,4026900,1293.319946
19-Jan-18,1313.0,1292.98999,1312.0,1294.579956,4578500,1294.579956
22-Jan-18,1327.449951,1296.660034,1297.170044,1327.310059,4140100,1327.310059
23-Jan-18,1364.900024,1337.339966,1338.089966,1362.540039,5169300,1362.540039
24-Jan-18,1388.160034,1338.0,1374.819946,1357.51001,6807500,1357.51001
25-Jan-18,1378.339966,1357.619995,1368.0,1377.949951,4753000,1377.949951
26-Jan-18,1402.530029,1380.910034,1392.01001,1402.050049,4857300,1402.050049
29-Jan-18,1431.390015,1400.439941,1409.180054,1417.680054,5701900,1417.680054
30-Jan-18,1439.25,1392.0,1403.170044,1437.819946,5871900,1437.819946
31-Jan-18,1472.579956,1450.040039,1451.300049,1450.890015,6424700,1450.890015
1-Feb-18,1459.880005,1385.140015,1445.0,1390.0,9113800,1390.0
2-Feb-18,1498.0,1414.0,1477.390015,1429.949951,11125700,1429.949951
5-Feb-18,1458.97998,1320.719971,1402.619995,1390.0,11495000,1390.0
6-Feb-18,1443.98999,1351.790039,1361.459961,1442.839966,11066800,1442.839966
7-Feb-18,1460.98999,1415.150024,1449.0,1416.780029,7162700,1416.780029
8-Feb-18,1433.75,1349.939941,1429.680054,1350.5,8578600,1350.5
9-Feb-18,1383.5,1265.930054,1373.48999,1339.599976,14141500,1339.599976
12-Feb-18,1393.810059,1344.01001,1364.670044,1386.22998,6738900,1386.22998
13-Feb-18,1419.719971,1383.530029,1385.930054,1414.51001,5917900,1414.51001
14-Feb-18,1452.060059,1403.359985,1406.25,1451.050049,5959200,1451.050049
15-Feb-18,1468.939941,1436.839966,1466.890015,1461.76001,5652700,1461.76001
16-Feb-18,1465.800049,1446.560059,1457.369995,1448.689941,4472600,1448.689941
20-Feb-18,1488.77002,1446.48999,1446.48999,1468.349976,6499200,1468.349976
21-Feb-18,1503.48999,1478.920044,1485.0,1482.920044,6304400,1482.920044
22-Feb-18,1502.540039,1475.76001,1495.359985,1485.339966,4858100,1485.339966
23-Feb-18,1500.0,1486.5,1495.339966,1500.0,4418100,1500.0
26-Feb-18,1522.839966,1507.0,1509.199951,1521.949951,4955000,1521.949951
27-Feb-18,1526.780029,1507.209961,1524.5,1511.97998,4808800,1511.97998
28-Feb-18,1528.699951,1512.0,1519.51001,1512.449951,4515000,1512.449951
1-Mar-18,1518.48999,1465.0,1513.599976,1493.449951,6835200,1493.449951
2-Mar-18,1501.050049,1455.01001,1469.099976,1500.25,6587600,1500.25
5-Mar-18,1525.380005,1481.0,1494.23999,1523.609985,5233900,1523.609985
6-Mar-18,1542.130005,1528.0,1533.199951,1537.640015,4561700,1537.640015
7-Mar-18,1545.900024,1522.51001,1526.52002,1545.0,4174100,1545.0
