Date,High,Low,Open,Close,Volume,Adj Close
8-Jan-18,163.91000369999998,161.6999969,162.66000369999998,163.47000119999998,5237500,147.69577030000002
9-Jan-18,164.52999880000002,163.0599976,163.8999939,163.83000180000002,4341800,148.02102659999997
10-Jan-18,164.33000180000002,162.5,162.91000369999998,164.17999269999999,4174100,148.33724980000002
11-Jan-18,164.9400024,163.3000031,164.8000031,164.1999969,3794500,148.35534669999998
12-Jan-18,164.7400055,163.02999880000002,164.0200043,163.1399994,5031900,147.3975983
16-Jan-18,165.28999330000002,163.3500061,165.1000061,163.8500061,7794200,148.0391083
17-Jan-18,169.13000490000002,167.2599945,168.0099945,168.6499939,11710000,152.3759003
18-Jan-18,171.13000490000002,168.1499939,170.0,169.11999509999998,14259300,152.8005371
19-Jan-18,165.3999939,161.3000031,164.46000669999998,162.36999509999998,21172500,146.701889
22-Jan-18,163.9799957,161.1100006,161.5099945,162.6000061,8480800,146.909729
23-Jan-18,166.2599945,162.5099945,162.82000730000001,166.25,7466200,150.2075043
24-Jan-18,168.72000119999998,164.82000730000001,166.75,165.36999509999998,5645000,149.4124146
25-Jan-18,166.77999880000002,165.1900024,165.91000369999998,165.47000119999998,3302500,149.5027618
26-Jan-18,167.41000369999998,165.78999330000002,166.11999509999998,167.33999630000002,3787900,151.1923218
29-Jan-18,168.3899994,166.0099945,167.4499969,166.8000031,3517000,150.704422
30-Jan-18,166.7700043,163.16000369999998,166.21000669999998,163.61999509999998,4902300,147.83126830000003
31-Jan-18,164.9900055,162.7599945,163.75,163.6999969,4072800,147.9035492
1-Feb-18,164.13000490000002,161.8999939,163.1900024,162.3999939,4434200,146.72901919999998
2-Feb-18,162.0,158.86999509999998,161.6999969,159.02999880000002,5251900,143.68418880000002
5-Feb-18,158.5,150.0,157.8899994,152.52999880000002,8746600,137.8114319
6-Feb-18,155.4900055,149.1100006,150.28999330000002,155.33999630000002,9867700,140.35025019999998
7-Feb-18,155.33999630000002,153.27999880000002,154.16999819999998,153.8500061,6149200,139.00405880000002
