Date,Open,High,Low,Close,Volume
8-Jan-18,125.99,126.03,125.17,125.63,8850000
9-Jan-18,124.81,124.83,123.81,123.95,16230000
10-Jan-18,122.81,123.93,122.66,123.8,14300000
11-Jan-18,123.51,124.59,123.31,124.31,12510000
12-Jan-18,124.1,124.79,123.91,124.52,9990000
16-Jan-18,125.17,125.28,124.56,125.04,9130000
17-Jan-18,125.08,125.64,124.59,124.87,8330000
18-Jan-18,123.93,124.27,123.53,123.71,10840000
19-Jan-18,123.4,123.56,122.98,123.06,11370000
22-Jan-18,123.45,123.71,122.99,123.18,8990000
23-Jan-18,123.81,124.2,123.24,123.71,12330000
24-Jan-18,122.85,123.13,122.53,123.04,9040000
25-Jan-18,123.16,124.15,122.8,124.05,12170000
26-Jan-18,123.88,123.91,123.1,123.59,6460000
29-Jan-18,122.97,122.97,122.3,122.73,12220000
30-Jan-18,122.28,122.37,121.7,122.01,12060000
31-Jan-18,122.87,122.93,121.94,122.73,18050000
1-Feb-18,122.48,122.53,120.62,120.7,18630000
2-Feb-18,120.15,120.26,119.24,119.58,23940000
5-Feb-18,119.17,121.82,118.64,120.71,28610000
6-Feb-18,120.42,120.87,119.72,119.96,10940000
7-Feb-18,120.13,120.33,118.56,118.82,16270000
8-Feb-18,118.01,119.18,117.85,118.69,15160000
9-Feb-18,118.11,119.09,117.79,117.94,15660000
12-Feb-18,118.56,119.3,118.19,118.46,10940000
13-Feb-18,118.61,119.01,118.39,118.99,8160000
14-Feb-18,118.46,118.54,117.47,117.67,12040000
15-Feb-18,118.19,118.8,117.99,118.07,8220000
16-Feb-18,119.04,119.21,118.34,118.71,8450000
20-Feb-18,118.28,118.51,117.78,118.19,8270000
21-Feb-18,118.24,118.29,116.51,116.74,12050000
22-Feb-18,117.24,117.66,117.0,117.09,9320000
23-Feb-18,117.88,118.31,117.72,118.13,9070000
26-Feb-18,118.68,118.91,118.04,118.17,8770000
27-Feb-18,118.52,118.66,117.26,118.0,12530000
28-Feb-18,118.47,118.83,118.25,118.75,9310000
1-Mar-18,118.43,119.62,118.15,119.32,12290000
2-Mar-18,118.85,118.93,118.12,118.35,10060000
5-Mar-18,118.75,118.8,117.63,118.03,5660000
6-Mar-18,118.36,118.68,118.12,118.14,5450000
7-Mar-18,118.57,118.68,117.95,118.01,4460000
8-Mar-18,118.31,118.99,118.26,118.69,7090000
9-Mar-18,117.99,118.27,117.59,117.91,6570000
12-Mar-18,118.31,118.66,118.19,118.59,5800000
13-Mar-18,118.98,119.37,118.5,119.19,7460000
14-Mar-18,119.4,120.4,119.37,120.24,10180000
15-Mar-18,120.17,120.49,119.93,120.24,6760000
16-Mar-18,119.8,120.01,119.55,119.81,6080000
19-Mar-18,119.21,119.97,119.2,119.43,8490000
20-Mar-18,118.91,119.22,118.83,118.95,5450000
21-Mar-18,118.66,119.42,118.11,119.08,9740000
22-Mar-18,120.31,120.82,119.67,120.26,12140000
23-Mar-18,119.68,120.31,119.62,120.17,7250000
26-Mar-18,120.0,120.45,119.67,119.71,8240000
27-Mar-18,119.83,121.12,119.81,120.99,9170000
28-Mar-18,121.45,121.64,120.94,121.31,7410000
29-Mar-18,121.54,122.29,121.51,121.9,9690000
2-Apr-18,121.35,122.36,121.16,121.88,12040000
3-Apr-18,121.36,121.47,120.83,120.94,9860000
4-Apr-18,121.35,121.46,120.6,120.69,6650000
5-Apr-18,120.1,120.27,119.77,119.79,7600000
6-Apr-18,120.66,121.15,120.22,121.1,8830000
9-Apr-18,120.64,121.3,120.35,121.3,6310000
10-Apr-18,121.2,121.38,120.78,121.08,6050000
11-Apr-18,121.85,121.89,121.27,121.51,5900000
12-Apr-18,121.04,121.07,120.41,120.62,6620000
13-Apr-18,120.52,121.13,120.5,120.9,4960000
16-Apr-18,120.23,120.97,120.18,120.94,4490000
17-Apr-18,120.92,121.58,120.82,121.27,5590000
18-Apr-18,121.29,121.34,120.28,120.3,8140000
19-Apr-18,119.42,119.53,118.81,119.32,9880000
20-Apr-18,118.89,119.13,118.43,118.46,7580000
23-Apr-18,118.33,118.62,118.08,118.49,7070000
24-Apr-18,118.21,118.45,117.76,117.95,8190000
25-Apr-18,117.41,117.65,116.94,117.16,6600000
26-Apr-18,117.73,118.13,117.59,117.98,6530000
27-Apr-18,118.47,118.95,118.44,118.89,5400000
